StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
VIC,208,Corio,41567,DE LORENZO,John,3,N,N,IND,Independent,3037,128,3,118,661,3947,3.58
VIC,208,Corio,41142,FLYNN,Emilie,4,N,N,GRN,The Greens,13773,949,11,664,2120,17517,1.1
VIC,208,Corio,40759,BULLER,Darren,5,N,N,LP,Liberal,20663,826,21,803,5109,27422,-0.16
VIC,208,Corio,40854,MARLES,Richard,6,N,Y,ALP,Australian Labor Party,36876,1293,36,1170,7853,47228,0.92
VIC,208,Corio,999,Informal,Informal,999,N,N,NA,Informal,2957,123,6,73,355,3514,-2.11
VIC,209,Deakin,40861,GREGG,Matt,1,Y,N,ALP,Australian Labor Party,29770,1532,40,1098,7736,40176,1.86
VIC,209,Deakin,40795,SUKKAR,Michael,2,N,Y,LP,Liberal,30998,1347,44,1204,11139,44732,-2.78
VIC,209,Deakin,40868,NESS,Jess,3,N,N,IND,Independent,6490,246,9,186,1331,8262,7.15
VIC,209,Deakin,41512,COOKE,Anne,4,N,N,ON,Pauline Hanson's One Nation,2026,188,6,121,709,3050,0.4
VIC,209,Deakin,41547,GRIFFITH-JONES,Richard,5,N,N,FFP,Family First,1516,125,1,71,394,2107,1.82
VIC,209,Deakin,41128,MILLS,Amy,6,N,N,GRN,The Greens,10414,780,21,514,2034,13763,-2.29
VIC,209,Deakin,41387,WILDE,Milton,7,N,N,CYA,Trumpet of Patriots,1233,106,1,88,427,1855,0.7
VIC,209,Deakin,41746,VANDERMEER,Will,8,N,N,LTP,Libertarian,1203,80,4,40,260,1587,1.37
VIC,209,Deakin,999,Informal,Informal,999,N,N,NA,Informal,3583,272,4,172,635,4666,-0.1
VIC,210,Dunkley,40803,CONROY,Nathan,1,N,N,LP,Liberal,25326,978,29,1139,7809,35281,0.55
VIC,210,Dunkley,41683,THURLEY,Robert,2,N,N,IND,Independent,2336,106,3,113,683,3241,2.97
VIC,210,Dunkley,41555,DAVIS,Jessica,3,N,N,ON,Pauline Hanson's One Nation,5179,275,6,291,1768,7519,3.89
VIC,210,Dunkley,41560,NICHOLES,Peter,4,N,N,FFP,Family First,1869,105,8,67,455,2504,2.29
VIC,210,Dunkley,41129,MABER,Matt,5,N,N,GRN,The Greens,9710,568,15,483,1876,12652,0.96
VIC,210,Dunkley,41361,GATLEY,Andrew,6,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,664,46,0,33,239,982,0.9
VIC,210,Dunkley,40864,BELYEA,Jodie,7,N,Y,ALP,Australian Labor Party,31210,1110,43,1088,8336,41787,-2.19
VIC,210,Dunkley,41227,ABBOTT,Lisa,8,N,N,HMP,Legalise Cannabis Party,3811,327,5,213,900,5256,4.81
VIC,210,Dunkley,999,Informal,Informal,999,N,N,NA,Informal,4442,242,5,186,625,5500,0.14
VIC,211,Flinders,41371,SMART,Jason,1,N,N,CYA,Trumpet of Patriots,2183,181,4,182,596,3146,2.25
VIC,211,Flinders,40838,SMITH,Ben,2,N,N,IND,Independent,20247,432,13,588,3127,24407,21.24
VIC,211,Flinders,40748,McKENZIE,Zoe,3,N,Y,LP,Liberal,34265,1033,20,1802,10255,47375,-2.07
VIC,211,Flinders,41509,BROWN,Mike,4,N,N,ON,Pauline Hanson's One Nation,4672,196,7,251,964,6090,2.01
VIC,211,Flinders,40892,TOSCANO,Joseph,5,N,N,IND,Independent,687,55,1,60,179,982,0.85
VIC,211,Flinders,40853,RACE,Sarah,6,N,N,ALP,Australian Labor Party,19679,742,12,987,4205,25625,-0.55
VIC,211,Flinders,41131,FROGLEY,Adam,7,N,N,GRN,The Greens,5370,438,5,476,1015,7304,-3.15
VIC,211,Flinders,999,Informal,Informal,999,N,N,NA,Informal,3490,150,1,144,454,4239,-1.75
VIC,321,Fraser,41562,RANCIE,Rob,1,N,N,FFP,Family First,3154,291,9,241,854,4549,4.23
VIC,321,Fraser,41133,TRUONG,Huong,2,N,N,GRN,The Greens,20851,1271,54,1121,3872,27169,6.42
VIC,321,Fraser,41517,ROZARIO,George,3,N,N,ON,Pauline Hanson's One Nation,3356,268,7,280,1233,5144,1.89
