StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
NSW,113,Cowper,36245,HEISE,Caz,9,N,N,IND,Independent,28096,424,21,743,2330,31614,3.17
NSW,113,Cowper,41860,MARLOW,Geoffrey,10,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,199,11,0,15,33,258,0.24
NSW,113,Cowper,41876,WALSH,Chris,11,N,N,ON,Pauline Hanson's One Nation,5864,204,8,255,531,6862,-1.8
NSW,113,Cowper,999,Informal,Informal,999,N,N,NA,Informal,10809,329,7,305,392,11842,4.97
NSW,114,Cunningham,41343,BYRNES,Alison,1,N,Y,ALP,Labor,44713,1006,42,1275,4570,51606,3.48
NSW,114,Cunningham,40873,GARNAUT-MILLER,Alexis,2,N,N,CEC,Citizens Party,1371,70,2,67,150,1660,0.46
NSW,114,Cunningham,41453,IVANEZA,Amanda,3,N,N,LP,Liberal,22912,525,22,728,2625,26812,-1.26
NSW,114,Cunningham,41924,FULLER,John,4,N,N,ON,Pauline Hanson's One Nation,7414,255,8,291,809,8777,2.24
NSW,114,Cunningham,40878,LAVERS,Tim,5,N,N,AJP,Animal Justice Party,2596,95,2,70,290,3053,2.64
NSW,114,Cunningham,41568,WHITTAKER,Jess,6,N,N,GRN,The Greens,20708,659,47,766,1416,23596,-0.23
NSW,114,Cunningham,999,Informal,Informal,999,N,N,NA,Informal,6007,172,5,95,277,6556,0.03
NSW,115,Dobell,41558,COOPER,Simon George,1,N,N,GRN,The Greens,8915,520,16,341,859,10651,1.73
NSW,115,Dobell,41469,SMALL,Brendan,2,N,N,LP,Liberal,23774,674,32,662,3625,28767,-5.88
NSW,115,Dobell,41919,STEVENSON,Martin,3,N,N,ON,Pauline Hanson's One Nation,7678,318,12,252,798,9058,1.3
NSW,115,Dobell,41784,TAWAF,Anthony,4,N,N,CYA,Trumpet of Patriots,2339,120,6,85,295,2845,2.75
NSW,115,Dobell,41933,CLAYDON,Tim,5,N,N,HMP,Legalise Cannabis Party,4061,341,4,163,329,4898,4.73
NSW,115,Dobell,40879,MURPHY,Patrick,6,N,N,AJP,Animal Justice Party,1528,71,4,50,258,1911,1.85
NSW,115,Dobell,41854,CHALIK,Isaac,7,N,N,LTP,Libertarian,876,64,2,25,103,1070,1.03
NSW,115,Dobell,41358,McBRIDE,Emma,8,N,Y,ALP,Labor,37228,1021,45,973,5002,44269,-0.11
NSW,115,Dobell,999,Informal,Informal,999,N,N,NA,Informal,7709,321,8,165,430,8633,3.08
NSW,117,Eden-Monaro,37724,THALER,Andrew Evan,1,N,N,IND,Independent,2073,52,1,146,235,2507,0.7
NSW,117,Eden-Monaro,41711,COX,Wade Ewart,2,N,N,CYA,Trumpet of Patriots,2172,61,7,113,247,2600,2.43
NSW,117,Eden-Monaro,42072,BUCHANAN,Fraser,3,N,N,IMO,HEART Party,1627,24,2,41,178,1872,1.04
NSW,117,Eden-Monaro,41454,van der PLAAT,Jo,4,N,N,LP,Liberal,29031,320,32,1028,3715,34126,-2.5
NSW,117,Eden-Monaro,41188,FISHER,Brian,5,N,N,IND,Independent,1397,42,1,76,188,1704,1.59
NSW,117,Eden-Monaro,41737,McBAIN,Kristy,6,N,Y,ALP,Labor,39343,516,37,1600,4578,46074,4.53
NSW,117,Eden-Monaro,41557,GOWARD,Emma,7,N,N,GRN,The Greens,9057,202,8,548,913,10728,1.44
NSW,117,Eden-Monaro,41921,GRAHAM,Richard,8,N,N,ON,Pauline Hanson's One Nation,6078,132,8,306,930,7454,2.59
NSW,117,Eden-Monaro,999,Informal,Informal,999,N,N,NA,Informal,6111,127,4,181,362,6785,-0.5
NSW,118,Farrer,41463,LEY,Sussan,1,N,Y,LP,Liberal,37449,342,16,1659,5238,44704,-8.83
NSW,118,Farrer,41352,HYDE,Glen,2,N,N,ALP,Labor,13180,187,11,750,1416,15544,-3.89
NSW,118,Farrer,40627,MILTHORPE,Michelle,3,N,N,IND,Independent,18274,96,11,464,1671,20516,19.93
NSW,118,Farrer,41559,HENDRIE,Richard August,4,N,N,GRN,The Greens,4166,110,5,363,426,5070,-4.19
NSW,118,Farrer,41959,HICKS,Emma,5,N,N,ON,Pauline Hanson's One Nation,5611,81,7,304,800,6803,0.28
NSW,118,Farrer,41644,SINCLAIR,Peter,6,N,N,ASP,"Shooters, Fishers and Farmers Party",2927,70,5,200,376,3578,-1.83
NSW,118,Farrer,42016,O'REILLY,David,7,N,N,GRPF,Gerard Rennick People First,1802,23,2,83,164,2074,2.01
NSW,118,Farrer,41793,SCRIVEN,Rebecca,8,N,N,FFP,Family First,1897,39,2,98,178,2214,2.15
NSW,118,Farrer,41707,HARGRAVES,Tanya,9,N,N,CYA,Trumpet of Patriots,2043,32,2,131,234,2442,2.37
NSW,118,Farrer,999,Informal,Informal,999,N,N,NA,Informal,9454,88,5,283,383,10213,1.44
NSW,119,Fowler,41806,ATHAVLE,Jared,1,N,N,FFP,Family First,3023,251,6,129,218,3627,3.9
NSW,119,Fowler,41641,TEY,Victor,2,N,N,LTP,Libertarian,1530,91,2,65,112,1800,1.94
NSW,119,Fowler,36240,LE,Dai,3,N,Y,IND,Independent,27568,506,19,428,2588,31109,5.16
NSW,119,Fowler,41556,HOWARD,Avery Jacob,4,N,N,GRN,The Greens,5050,473,5,228,539,6295,1.89
NSW,119,Fowler,41956,MARGOS,Tony,5,N,N,ON,Pauline Hanson's One Nation,3043,186,5,119,509,3862,0.53
NSW,119,Fowler,41357,LE,Tu,6,N,N,ALP,Labor,30012,1081,29,779,3008,34909,0.93
NSW,119,Fowler,41460,SINGHA,Vivek,7,N,N,LP,Liberal,9284,533,6,350,1236,11409,-5.32
NSW,119,Fowler,999,Informal,Informal,999,N,N,NA,Informal,13753,499,16,237,503,15008,3.36
NSW,120,Gilmore,41365,PHILLIPS,Fiona,1,N,Y,ALP,Labor,35517,699,58,1492,4575,42341,2.18
NSW,120,Gilmore,42070,DEZARNAULDS,Kate,2,N,N,IND,Independent,7446,102,9,210,604,8371,7.54
NSW,120,Gilmore,41710,WISE,Melissa,3,N,N,CYA,Trumpet of Patriots,2071,58,4,120,248,2501,2.25
NSW,120,Gilmore,41616,KILLIAN,Debbie,4,N,N,GRN,The Greens,6515,281,14,466,655,7931,-3.09
NSW,120,Gilmore,41799,BROWN,Graham,5,N,N,FFP,Family First,1718,50,6,73,167,2014,1.81
NSW,120,Gilmore,41739,CONSTANCE,Andrew,6,N,N,LP,Liberal,32141,439,24,1245,4397,38246,-7.57
NSW,120,Gilmore,41969,HAWKE,John,7,N,N,ON,Pauline Hanson's One Nation,4526,162,4,235,643,5570,1.01
NSW,120,Gilmore,41939,CARLE,Adrian Richard,8,N,N,HMP,Legalise Cannabis Party,3439,160,1,167,343,4110,3.7
NSW,120,Gilmore,999,Informal,Informal,999,N,N,NA,Informal,7253,215,7,271,448,8194,2.44
NSW,121,Grayndler,41960,SMITH,Rodney,1,N,N,ON,Pauline Hanson's One Nation,2826,176,2,124,395,3523,0.89
NSW,121,Grayndler,41472,SMALLBONE,David,2,N,N,LP,Liberal,12853,578,16,562,1811,15820,-3.58
NSW,121,Grayndler,41714,BURRELL,Cheri Rae,3,N,N,CYA,Trumpet of Patriots,1383,107,1,76,163,1730,1.56
NSW,121,Grayndler,41565,THOMAS,Hannah,4,N,N,GRN,The Greens,23534,1307,58,1104,1785,27788,4.14
NSW,121,Grayndler,41373,ALBANESE,Anthony,5,N,Y,ALP,Labor,50262,1999,104,2108,4921,59394,0.89
NSW,121,Grayndler,40978,BRADBURY,David,6,N,N,IND,Independent,2034,135,7,121,272,2569,2.32
NSW,121,Grayndler,999,Informal,Informal,999,N,N,NA,Informal,4124,187,5,125,310,4751,-0.91
NSW,122,Greenway,41729,STUCKEY,Robert,1,N,N,IND,Independent,2060,169,1,105,376,2711,2.64
NSW,122,Greenway,41857,REX,Mark,2,N,N,LTP,Libertarian,1290,90,0,49,208,1637,1.59
NSW,122,Greenway,41572,SUBRAMANIAN,Palaniappan,3,N,N,GRN,The Greens,9263,554,10,263,928,11018,3.08
NSW,122,Greenway,41474,VIRK,Rattan,4,N,N,LP,Liberal,23381,894,11,615,3322,28223,-6.02
NSW,122,Greenway,41399,ROWLAND,Michelle,5,N,Y,ALP,Labor,44107,1529,40,1055,5076,51807,5.63
NSW,122,Greenway,41705,MULLIGAN,Justin,6,N,N,CYA,Trumpet of Patriots,2103,140,2,85,344,2674,2.6
NSW,122,Greenway,41934,SWANN,Edwin,7,N,N,ON,Pauline Hanson's One Nation,3565,208,6,125,794,4698,1.86
NSW,122,Greenway,999,Informal,Informal,999,N,N,NA,Informal,6668,406,5,143,465,7687,-0.43
NSW,124,Hughes,41400,MONCRIEFF,David,1,N,N,ALP,Labor,33120,1332,32,965,2909,38358,11.08
NSW,124,Hughes,41579,DYSON,Catherine Elizabeth,2,N,N,GRN,The Greens,9487,613,13,322,794,11229,4.99
NSW,124,Hughes,41866,SINOSIC,Elvis,3,N,N,LTP,Libertarian,1643,87,4,43,137,1914,1.95
NSW,124,Hughes,41703,SCARFONE,Alex,4,N,N,CYA,Trumpet of Patriots,2343,130,6,62,235,2776,2.82
