StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,58,Oatley,41486,HANNA,Natalie,5,N,N,GRN,The Greens,175,3.16
NSW,103,Banks,58,Oatley,41350,SOON,Zhi,6,Y,N,ALP,Labor,415,2.76
NSW,103,Banks,58,Oatley,41411,COLEMAN,David,7,N,Y,LP,Liberal,407,-8.75
NSW,103,Banks,58,Oatley,40625,COYNE,John,8,N,N,IND,Independent,32,2.83
NSW,103,Banks,58,Oatley,999,Informal,Informal,999,N,N,NA,Informal,79,2.64
NSW,103,Banks,83630,Oatley East,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,12,2.19
NSW,103,Banks,83630,Oatley East,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,16,0.22
NSW,103,Banks,83630,Oatley East,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,3,0.55
NSW,103,Banks,83630,Oatley East,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,13,2.37
NSW,103,Banks,83630,Oatley East,41486,HANNA,Natalie,5,N,N,GRN,The Greens,71,3.55
